Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
4352,4039186,Wallack - 190 East 72nd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014060041,1-01406-0041,1042818,190 East 72nd Street,Not Available,10021,1230,3 AVENUE,Manhattan,325680,Multifamily Housing,Multifamily Housing,Multifamily Housing,294075,Not Available,Not Available,Not Available,Not Available,1962,1,100,Whole Building,Not Available,43,74.9,80.5,8.8,Not Available,155.2,Not Available,Not Available,Not Available,Not Available,Not Available,1.29608817E7,Not Available,Not Available,9059281,2594492.8,1701.3,0,1701.3,294075,Not Available,Not Available,149.8,05/01/2017 14:58:14,Yes,In Compliance,40.769172,-73.961046,8,4,128,Upper East Side-Carnegie Hill
4353,2669693,164 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014060046,1014060046,1042822,164 East 72nd St,Not Available,10021,164,EAST 72 STREET,Manhattan,101415,Multifamily Housing,"Multifamily Housing, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,106915,Urgent Care/Clinic/Other Outpatient,730,Not Available,Not Available,1926,1,100,Whole Building,Whole Building,82,73.8,77.2,7.1,0,129.5,Not Available,5175551.8,Not Available,Not Available,Not Available,Not Available,78020,800.2,2692265.2,762038.9,638.1,388.2,249.8,107645,2536.4,23.56,127.9,05/01/2017 22:35:35,Yes,In Compliance,40.770141,-73.961558,8,4,128,Upper East Side-Carnegie Hill
4354,2670531,160 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014060050,1014060050,1042823,160 East 72nd St,Not Available,10021,158,EAST 72 STREET,Manhattan,63229,Multifamily Housing,Multifamily Housing,Multifamily Housing,67444,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,59,63.7,68.1,5.3,0,116.8,Not Available,Not Available,Not Available,Not Available,Not Available,3040965.3,41060,410.6,1215881.7,356354.5,316.9,2.2,314.7,67444,Not Available,Not Available,111.5,05/01/2017 22:35:35,No,In Compliance,40.770193,-73.961684,8,4,128,Upper East Side-Carnegie Hill
4355,2670002,114 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014060065,1014060065,1042829,114 East 72nd St,Not Available,10021,114,EAST 72 STREET,Manhattan,112900,Multifamily Housing,"Multifamily Housing, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,119368,Urgent Care/Clinic/Other Outpatient,2000,Not Available,Not Available,1963,1,100,Whole Building,Not Available,96,49.6,52.2,5.6,0,99.5,Not Available,Not Available,Not Available,Not Available,Not Available,3533105.9,100680,1006.8,2390037.7,677096.5,461.7,5.3,456.4,121368,Not Available,Not Available,97.7,05/01/2017 22:35:35,Yes,In Compliance,40.770808,-73.963143,8,4,128,Upper East Side-Carnegie Hill
4356,2670064,755 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014060069,1014060069,1042830,755 Park Ave,Not Available,10021,751,PARK AVENUE,Manhattan,130533,Multifamily Housing,"Multifamily Housing, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,137571,Urgent Care/Clinic/Other Outpatient,4200,Not Available,Not Available,1914,1,100,Whole Building,Whole Building,75,66.7,Not Available,6.2,0.5,Not Available,Not Available,414000,Not Available,Not Available,Not Available,Not Available,5989269.8,65709.7,3051091.6,875364.6,632,348.8,283.1,141771,4796.2,33.83,114.9,05/01/2017 22:35:35,Yes,In Compliance,40.770869,-73.963984,8,4,128,Upper East Side-Carnegie Hill
4357,4407799,150 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014067503,1014067503,1042824,150 East 72nd St,Not Available,10021,993,LEXINGTON AVENUE,Manhattan,81449,Multifamily Housing,Multifamily Housing,Multifamily Housing,72890,Not Available,Not Available,Not Available,Not Available,1914,1,100,Whole Building,Not Available,10,71.5,75,9.9,0.4,149.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2797623.4,30049.8,2415990,721879.5,372.8,148.6,224.2,72890,1538.7,21.11,144.4,05/09/2017 14:50:49,Yes,In Compliance,40.770113,-73.962421,8,4,128,Upper East Side-Carnegie Hill
4358,2795937,Katz 737 Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014067504,1014067504,1042799,737 Park Ave,Not Available,10021,737,PARK AVENUE,Manhattan,200800,Multifamily Housing,Multifamily Housing,Multifamily Housing,226915,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Whole Building,32,68.9,73,7.3,0,127.1,Not Available,Not Available,9856927.2,Not Available,Not Available,Not Available,50126.7,501.3,5716196.7,1664443.5,1275.2,744.8,530.5,226915,Not Available,Not Available,123.2,05/01/2017 22:09:31,No,In Compliance,40.770564,-73.964204,8,4,128,Upper East Side-Carnegie Hill
4359,2670039,765/775 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070001,1014070001,1042841,765/775 Park Ave,Not Available,10021,775,PARK AVENUE,Manhattan,208986,Multifamily Housing,Multifamily Housing,Multifamily Housing,227063,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Whole Building,89,65,68.7,6.3,0.5,117,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9782173,107195.5,4983317.1,1429278.8,982,519.6,462.5,227063,Not Available,Not Available,114.1,05/01/2017 22:35:35,Yes,In Compliance,40.771585,-73.96346,8,4,128,Upper East Side-Carnegie Hill
4360,2670710,117 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070008,1014070008,1042843,117 East 72nd St,Not Available,10021,117,EAST 72 STREET,Manhattan,81622,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,85886,Other,2296,Not Available,Not Available,1928,1,100,Whole Building,Not Available,68,86.5,91.9,6.5,0,153.3,Not Available,Not Available,Not Available,Not Available,Not Available,5410301.4,213560,2230.8,2002740.3,576009.1,556.4,11.3,545.1,88182,Not Available,Not Available,147.7,05/01/2017 22:35:35,No,In Compliance,40.770783,-73.963038,8,4,128,Upper East Side-Carnegie Hill
4361,2669929,125 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070016,1014070016,1042844,125 East 72nd St,Not Available,10021,1004,LEXINGTON AVENUE,Manhattan,173024,Multifamily Housing,"Medical Office, Multifamily Housing, Other",Multifamily Housing,176865,Other,5318,Medical Office,3200,1917,1,100,Whole Building,Whole Building,Not Available,55.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,6480064,Not Available,Not Available,Not Available,234820,2348.2,3627758.8,Not Available,837,500.3,336.7,185383,3762.6,20.3,98.1,05/01/2017 22:35:35,Yes,In Compliance,40.770616,-73.962081,8,4,128,Upper East Side-Carnegie Hill
4362,2806532,141 East 72nd St. Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070020,1014070020,1042845,141 East 72nd Street,Not Available,10021,1003,LEXINGTON AVENUE,Manhattan,56126,Multifamily Housing,"Financial Office, Multifamily Housing",Multifamily Housing,63441,Financial Office,2850,Not Available,Not Available,1923,1,100,Whole Building,Whole Building,Not Available,86,Not Available,7.5,0,Not Available,Not Available,Not Available,3911834.5,Not Available,Not Available,Not Available,57266.7,580.9,1732938.5,496156.7,458.4,297.6,160.8,66291,1554.5,23.45,142.6,05/01/2017 22:09:31,Yes,In Compliance,40.770583,-73.962081,8,4,128,Upper East Side-Carnegie Hill
4363,2656544,Wallack - 155 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070026,1-01407-0026,1042849,155 East 72nd Street,Not Available,10021,153,EAST 72 STREET,Manhattan,98373,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,100308,Medical Office,2000,Not Available,Not Available,1929,1,100,Whole Building,Not Available,Not Available,65.1,71.2,4.4,Not Available,115,Not Available,Not Available,Not Available,Not Available,Not Available,5081950.5,Not Available,Not Available,1579691.8,453285.8,484,0,484,102308,Not Available,Not Available,108.2,05/01/2017 14:58:14,Yes,In Compliance,40.770231,-73.961731,8,4,128,Upper East Side-Carnegie Hill
4364,2659850,165 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070033,1014070033,1042850; 1085156,165 East 72nd St,Not Available,10021,1250,3 AVENUE,Manhattan,326054,Multifamily Housing,"Financial Office, Multifamily Housing, Other, Parking",Multifamily Housing,274340,Parking,17500,Financial Office,12324,1958,1,100,Whole Building,Whole Building,55,69.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14015389,510354.6,5103.5,5751970.4,Not Available,1491.5,27.1,1464.4,291500,Not Available,Not Available,121.6,05/01/2017 23:49:38,Yes,In Compliance,40.769858,-73.960537,8,4,128,Upper East Side-Carnegie Hill
4365,2669949,150 East 73rd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014070051,1014070051,1042858,150 East 73rd St,Not Available,10021,1017,LEXINGTON AVENUE,Manhattan,97328,Multifamily Housing,"Multifamily Housing, Other, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,100032,Other,4700,Urgent Care/Clinic/Other Outpatient,1444,1923,1,100,Whole Building,Whole Building,56,86.4,92.7,4.5,0,126.2,Not Available,Not Available,7420304.4,Not Available,Not Available,Not Available,91769.7,917.7,1656757.2,475341.7,717.3,563.5,153.7,106176,1891.4,17.81,120.5,05/01/2017 22:35:35,Yes,In Compliance,40.771,-73.961774,8,4,128,Upper East Side-Carnegie Hill
4366,3108367,Century - 157 East 72nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014077501,1-01407-7501,1042881,157 East 72nd Street,Not Available,10021,157,EAST 72 STREET,Manhattan,113524,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,149255,Medical Office,4000,Not Available,Not Available,1923,1,100,Whole Building,Whole Building,Not Available,39.6,44.5,4,Not Available,73.9,Not Available,3947627.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2126172.3,610016.8,490.3,292.9,197.3,153255,4461.4,29.11,69.6,05/01/2017 14:58:14,Yes,In Compliance,40.770201,-73.961652,8,4,128,Upper East Side-Carnegie Hill
4367,2659491,785 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014080001,1014080001,1043025,785 Park Ave,Not Available,10075,785,PARK AVENUE,Manhattan,143244,Multifamily Housing,"Multifamily Housing, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,134644,Urgent Care/Clinic/Other Outpatient,3600,Not Available,Not Available,1940,1,100,Whole Building,Whole Building,72,55.6,58.4,5.6,0.4,101.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4970169.8,54359.8,2715283.7,773187.7,516,264,252,138244,3566.7,25.8,99.4,05/01/2017 22:35:35,Yes,In Compliance,40.772002,-73.963156,8,4,128,Upper East Side-Carnegie Hill
4368,3001576,149 East 73Rd St Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014080020,1014080020,1043037,149 East 73rd Street,Not Available,10028,1019,LEXINGTON AVENUE,Manhattan,78000,Multifamily Housing,Multifamily Housing,Multifamily Housing,78000,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Whole Building,68,57.3,57.1,5.5,0,97.9,Not Available,Not Available,2890799.9,Not Available,Not Available,Not Available,82500,847.6,1498277.5,432170,361.1,222,139,78000,2372.3,30.41,98.9,04/28/2017 06:56:15 PM,No,In Compliance,40.771197,-73.96163,8,4,128,Upper East Side-Carnegie Hill
4369,4040445,Argo - 181 East 73rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014080033,1-01408-0033,1043046,181 East 73rd Street,Not Available,10021,1270,3 AVENUE,Manhattan,177975,Multifamily Housing,Multifamily Housing,Multifamily Housing,183314,Not Available,Not Available,Not Available,Not Available,1958,1,100,Whole Building,Not Available,75,53.6,57.7,5.8,0.1,100.6,Not Available,Not Available,4373284.1,Not Available,Not Available,Not Available,1760375.7,17603.8,3700502,1057236.3,766.2,422.8,343.4,183314,9869,53.84,97.6,04/27/2017 09:47:42 PM,No,In Compliance,40.770533,-73.960049,8,4,128,Upper East Side-Carnegie Hill
4370,4920292,Picaso - 174 East 74th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014080040,1-01408-0040,1043047,174 East 74th Street,Not Available,10021,1280,3 AVENUE,Manhattan,159929,Multifamily Housing,Multifamily Housing,Multifamily Housing,160929,Not Available,Not Available,Not Available,Not Available,1966,1,100,Whole Building,Not Available,81,73.8,77.5,4.2,Not Available,108.8,Not Available,3804825.7,5673414,Not Available,Not Available,Not Available,Not Available,Not Available,2394074.7,674609.4,931.7,709.5,222.2,160929,5607.4,34.84,106.2,05/01/2017 14:58:14,Yes,In Compliance,40.77078,-73.959868,8,4,128,Upper East Side-Carnegie Hill
4371,4390625,168 E. 74th St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014080041,1-01408-0041,1043048,168 E. 74th Street,Not Available,10021,168,EAST 74 STREET,Manhattan,61051,Multifamily Housing,Multifamily Housing,Multifamily Housing,66000,Not Available,Not Available,Not Available,Not Available,1923,1,100,Whole Building,Whole Building,71,62.6,66.8,5.6,0,108.4,Not Available,Not Available,2533829.8,Not Available,Not Available,Not Available,307164,2809.7,1292303.7,370300.9,327,207.1,119.9,66000,1798.3,27.25,105.1,05/01/2017 16:04:27,Yes,In Compliance,40.771419,-73.96051,8,4,128,Upper East Side-Carnegie Hill
4373,4407796,791 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014080071,1014080071,1043066,791 Park Ave,Not Available,10021,791,PARK AVENUE,Manhattan,116499,Multifamily Housing,Multifamily Housing,Multifamily Housing,124820,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,23,71.2,75,6.8,0,125.3,Not Available,5796690.2,Not Available,Not Available,Not Available,Not Available,142512.1,1425.1,2949923.2,850060.2,711.5,437.7,273.8,124820,Not Available,Not Available,122.3,05/01/2017 22:35:35,Yes,In Compliance,40.772194,-73.963015,8,4,128,Upper East Side-Carnegie Hill
4374,2674038,DEPM 1634 - 799 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014090001,1-01409-0001,1043073,799 Park Avenue,Not Available,10021,799,PARK AVENUE,Manhattan,148485,Multifamily Housing,"Medical Office, Multifamily Housing, Parking",Multifamily Housing,150094,Parking,5000,Medical Office,2300,1960,1,100,Whole Building,Not Available,Not Available,56.4,59,6.6,Not Available,114.9,Not Available,Not Available,Not Available,Not Available,Not Available,4998645.3,Not Available,Not Available,3597549.5,1012022.8,665.8,0,665.8,152394,Not Available,Not Available,113.6,05/01/2017 14:58:14,No,In Compliance,40.772551,-73.962755,8,4,128,Upper East Side-Carnegie Hill
4376,2902155,145 East 74 St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014090021,1-01409-0021,1043081,145 East 74 St.,Not Available,10021,1033,LEXINGTON AVENUE,Manhattan,71189,Multifamily Housing,"Multifamily Housing, Office, Retail Store",Multifamily Housing,70225,Retail Store,2500,Office,675,1923,1,100,Whole Building,Whole Building,Not Available,71.3,73.8,6,0,118,Not Available,3588069.1,Not Available,Not Available,Not Available,Not Available,123466.5,1252,1522466.2,438422.3,414.1,272.8,141.3,73400,2637.6,35.94,116.3,04/21/2017 03:26:12 PM,Yes,In Compliance,40.771829,-73.961164,8,4,128,Upper East Side-Carnegie Hill
4377,3110829,DEPM 1918 - 175 East 74th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014090033,1-01409-0033,1043089,175 East 74th Street,Not Available,10021,177,EAST 74 STREET,Manhattan,107600,Multifamily Housing,"Medical Office, Multifamily Housing, Retail Store",Multifamily Housing,106480,Retail Store,5000,Medical Office,1500,1963,1,100,Whole Building,Whole Building,Not Available,100.1,98.3,6,0.8,146.2,Not Available,0,Not Available,0,Not Available,Not Available,8948342.6,87812.1,2366488.5,680931.6,694.9,475.3,219.6,112980,4153.7,36.77,148.9,05/01/2017 14:58:14,No,In Compliance,40.771364,-73.960333,8,4,128,Upper East Side-Carnegie Hill
4378,5864830,AKAM - 196 East 75th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014090040,1-01409-0040,1043090,196 East 75th Street,Not Available,10021,1296,3 AVENUE,Manhattan,162750,Multifamily Housing,Multifamily Housing,Multifamily Housing,166005,Not Available,Not Available,Not Available,Not Available,1961,1,100,Whole Building,Not Available,66,69.8,73.2,6.9,0.5,125.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7590769.8,82719,3993789.2,1137977.3,773.8,403.2,370.6,166005,5525.9,33.29,123.6,05/01/2017 13:01:42,Yes,In Compliance,40.771331,-73.959463,8,4,128,Upper East Side-Carnegie Hill
4379,3111536,DEPM 1582 - 120 East 75th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014090061,1-01409-0061,1043103,120 East 75th Street,Not Available,10021,120,EAST 75 STREET,Manhattan,56500,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,55760,Medical Office,3000,Not Available,Not Available,1923,1,100,Whole Building,Not Available,Not Available,76.6,81.5,5.3,0.6,123.6,Not Available,0,Not Available,0,Not Available,Not Available,3393333.2,37190.5,1108186.6,313583.1,283.1,180.2,102.8,58760,2054.2,34.96,119.9,05/01/2017 14:58:14,Yes,In Compliance,40.772721,-73.961629,8,4,128,Upper East Side-Carnegie Hill
4380,2672664,DEPM 1678 - 815 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014090069,1-01409-0069,1043105,815 Park Avenue,Not Available,10021,815,PARK AVENUE,Manhattan,101056,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,94669,Medical Office,4000,Not Available,Not Available,1916,1,100,Whole Building,Whole Building,Not Available,85.5,90,6.2,Not Available,135.7,Not Available,Not Available,6281592,Not Available,Not Available,Not Available,Not Available,Not Available,2155520.5,608499.6,673,472.9,200,98669,3638.5,36.88,132.9,05/01/2017 14:58:14,No,In Compliance,40.772872,-73.96252,8,4,128,Upper East Side-Carnegie Hill
4381,4952438,AKAM - 157 East 74th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014097501,1-01409-7501,1082906,157 East 74th Street,Not Available,10021,157,EAST 74 STREET,Manhattan,56871,Multifamily Housing,"Multifamily Housing, Office, Retail Store",Multifamily Housing,32220,Office,18477,Retail Store,7932,1986,1,100,Whole Building,Not Available,Not Available,153.9,164.7,15.6,1.1,284.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5903686.1,65352.6,3118902.1,914097.8,603,313.6,289.4,58629,Not Available,Not Available,272.8,05/01/2017 13:01:42,No,In Compliance,40.77154,-73.960749,8,4,128,Upper East Side-Carnegie Hill
4382,2386810,130 East 75th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014097502,1014097502,1076301,130 East 75th Street,Not Available,10021,1040,LEXINGTON AVENUE,Manhattan,128588,Multifamily Housing,"Medical Office, Multifamily Housing, Other, Retail Store",Multifamily Housing,133557,Retail Store,4837,Other,1234,1929,1,100,Whole Building,Whole Building,Not Available,73.1,79.4,5.5,0,120.3,Not Available,7371363.8,Not Available,Not Available,Not Available,Not Available,191785.6,1954.4,2697513.9,773279.8,807.5,557.2,250.3,140278,4552.6,32.45,114.9,05/01/2017 22:59:39,Yes,In Compliance,40.771936,-73.961113,8,4,128,Upper East Side-Carnegie Hill
4383,4412273,135 East 74th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014097503,1014097503,1076302,135 East 74th Street,Not Available,10021,1036,LEXINGTON AVENUE,Manhattan,57429,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,50950,Retail Store,2300,Not Available,Not Available,1925,1,100,Whole Building,Not Available,Not Available,107.5,112.3,9.7,0.1,184.3,Not Available,3482016.2,Not Available,Not Available,Not Available,Not Available,475858.3,4758.6,1764581,517169,447.4,283.7,163.8,53250,Not Available,Not Available,179.5,05/01/2017 22:59:39,Yes,In Compliance,40.771837,-73.961185,8,4,128,Upper East Side-Carnegie Hill
4384,2805626,103 East 75th St. Apts. Inc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014100005,1014100005,1043139,103 E 75th St,Not Available,10021,103,EAST 75 STREET,Manhattan,64853,Multifamily Housing,Multifamily Housing,Multifamily Housing,71336,Not Available,Not Available,Not Available,Not Available,1913,1,100,Whole Building,Whole Building,78,60.1,59.6,5.9,0.4,104.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2816969.7,28169.7,1468883.9,419671.9,285.9,149.6,136.3,71336,Not Available,Not Available,106.1,05/01/2017 22:09:31,No,In Compliance,40.772894,-73.961997,8,4,128,Upper East Side-Carnegie Hill
4385,2719890,Lex Owners Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014100014,1014100014,1043142,123 East 75th Street,Not Available,10021,1056,LEXINGTON AVENUE,Manhattan,103004,Multifamily Housing,"Financial Office, Multifamily Housing",Multifamily Housing,96104,Financial Office,6900,Not Available,Not Available,1961,1,100,Whole Building,Whole Building,22,113,113,8.4,0,175.2,Not Available,Not Available,8513618.9,Not Available,Not Available,Not Available,177400,1774,2949080.4,864325.9,924.1,650.4,273.7,103004,Not Available,Not Available,175.2,04/28/2017 06:56:15 PM,Yes,In Compliance,40.772473,-73.960723,8,4,128,Upper East Side-Carnegie Hill
4386,2587540,177 East 75th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014100033,1-01410-0033,1043149,177 E. 75th Street,Not Available,10021,1308,3 AVENUE,Manhattan,191549,Multifamily Housing,Multifamily Housing,Multifamily Housing,145000,Not Available,Not Available,Not Available,Not Available,1962,1,100,Whole Building,Whole Building,90,62.7,62.4,3.1,0,95.3,Not Available,Not Available,Not Available,Not Available,Not Available,7364333,147293.5,1511.6,1581247.9,447646.3,643.5,7.8,635.7,145000,5383.8,37.13,96.4,04/18/2017 12:26:47 PM,No,In Compliance,40.771795,-73.95912,8,4,128,Upper East Side-Carnegie Hill
4387,4034138,NH 122 East 76th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014100064,1-01410-0064,1043155,122 East 76th Street,Not Available,10021,122,EAST 76 STREET,Manhattan,65482,Medical Office,"Medical Office, Multifamily Housing",Medical Office,43349,Multifamily Housing,24151,Not Available,Not Available,1915,1,100,Whole Building,Whole Building,89,54.5,58.5,5.3,0,105.6,Not Available,Not Available,Not Available,Not Available,Not Available,2388000.1,25681.8,261,1262785.8,360060.9,277.1,1.4,275.7,67500,1971.9,29.21,101.7,04/09/2017 14:06:13,No,In Compliance,40.773308,-73.961051,8,4,128,Upper East Side-Carnegie Hill
4388,3111785,DEPM 2524 - 829 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014100069,1-01410-0069,1043160,829 Park Avenue,Not Available,10021,829,PARK AVENUE,Manhattan,103360,Multifamily Housing,Multifamily Housing,Multifamily Housing,103922,Not Available,Not Available,Not Available,Not Available,1909,1,100,Whole Building,Whole Building,54,88.7,95.1,6.9,Not Available,146,Not Available,6744887.8,0,Not Available,Not Available,Not Available,Not Available,Not Available,2471965.2,714156.6,729.9,500.5,229.4,103922,3239.8,31.18,140.2,05/01/2017 14:58:14,No,In Compliance,40.773399,-73.962137,8,4,128,Upper East Side-Carnegie Hill
4389,3327404,136 East 76th St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014107501,1-01410-7501,1043163,136 East 76th St.,Not Available,10021,1068,LEXINGTON AVENUE,Manhattan,141722,Multifamily Housing,"Multifamily Housing, Office, Parking",Multifamily Housing,140000,Parking,6000,Office,2000,1961,1,100,Whole Building,Whole Building,Not Available,92.1,91.5,11.7,0.5,179.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7342242.1,73422.4,5729642,1656759.7,921.7,390,531.7,142000,6126.5,43.14,181,04/21/2017 04:11:09 PM,Yes,In Compliance,40.772715,-73.960546,8,4,128,Upper East Side-Carnegie Hill
4390,2670564,188 East 76th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014107503,1014107503,1085651,188 East 76th St,Not Available,10021,188,EAST 76 STREET,Manhattan,167023,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,141534,Medical Office,16206,Not Available,Not Available,1996,1,100,Whole Building,Whole Building,49,71,75.3,7.8,0,141.8,Not Available,Not Available,Not Available,Not Available,Not Available,6559282.8,262166.7,2746.2,4371012.4,1228959.3,855.1,13.9,841.2,157740,Not Available,Not Available,138.8,05/01/2017 22:35:35,No,In Compliance,40.772514,-73.959167,8,4,128,Upper East Side-Carnegie Hill
4391,2669771,823 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014107504,1014107504,1043138,823 Park Ave,Not Available,10021,823,PARK AVENUE,Manhattan,55758,Multifamily Housing,Multifamily Housing,Multifamily Housing,61381,Not Available,Not Available,Not Available,Not Available,1920,1,100,Whole Building,Whole Building,Not Available,77.8,80.8,10.7,0.4,161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2510427.2,27212.7,2267368,655766.7,343.8,133.3,210.4,61381,1270.7,20.7,158.9,05/01/2017 22:35:35,Yes,In Compliance,40.77321,-73.962275,8,4,128,Upper East Side-Carnegie Hill
4392,2655597,NH Lenox Hill,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014110001,1-01411-0001,1082182;1082184;1082185;1082187;1082598;1085491;1082180;1082599;1082183,101 East 77th Street,Not Available,10075,855,PARK AVENUE,Manhattan,775241,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),873000,Not Available,Not Available,Not Available,Not Available,1894,9,100,Whole Building,Whole Building,28,287.9,Not Available,34.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,207000,1.467194241E8,Not Available,Not Available,104377202.2,2.98383797E7,19443.5,15.4,19428.1,873000,0,0,577.8,04/09/2017 14:06:13,No,In Compliance,40.774112,-73.961617,8,4,128,Upper East Side-Carnegie Hill
